                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2107,                 2.9559,                 1.3821,                0.00683,                0.57288,                0.27777,                0.20157,                0.86945,                 3.2092,                  1.023,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.1526,                 2.4742,                 1.3219,                0.00954,                0.70603,                0.28606,                0.22024,                0.87878,                 2.9423,                 1.0171,             0.00021585,             0.00021585,             0.00021585
                      3,                 1.1752,                 1.6471,                 1.3162,                0.90111,                0.24272,                0.26277,                0.16883,                 1.1949,                 2.7336,                 1.2544,             0.00033076,             0.00033076,             0.00033076
                      4,                 1.1629,                 1.3587,                 1.2912,                0.88009,                0.26161,                  0.285,                 0.1866,                  1.225,                  2.469,                 1.3723,             0.00044474,             0.00044474,             0.00044474
                      5,                 1.1258,                 1.2395,                 1.3077,                0.88254,                0.24757,                0.37011,                0.25489,                 1.1144,                 2.6622,                  1.262,              0.0005578,              0.0005578,              0.0005578
                      6,                 1.0834,                 1.1652,                 1.2801,                0.95123,                0.25243,                0.38919,                0.28278,                 1.0556,                 2.3743,                 1.2162,             0.00066994,             0.00066994,             0.00066994
                      7,                 1.0822,                 1.1057,                  1.257,                 0.8671,                0.25728,                0.35983,                  0.225,                 1.2393,                 3.2122,                 1.4852,             0.00078115,             0.00078115,             0.00078115
                      8,                 1.0495,                 1.0311,                 1.2455,                0.86583,                0.24272,                0.47032,                 0.3714,                 1.0914,                 2.2581,                 1.2595,             0.00089143,             0.00089143,             0.00089143
                      9,                 1.0741,                 1.0277,                  1.252,                0.86743,                0.26187,                0.45547,                0.31646,                 1.3185,                 2.4938,                  1.399,              0.0010008,              0.0010008,              0.0010008
                     10,                 1.0947,                0.99604,                 1.2522,                0.79781,                0.12784,                0.32689,                0.16084,                 1.7302,                 2.7988,                 1.5274,              0.0011092,              0.0011092,              0.0011092
                     11,                 1.0601,                0.97822,                 1.2461,                0.72146,                0.36801,                0.46466,                0.30587,                 1.3341,                 2.1992,                  1.396,              0.0012167,              0.0012167,              0.0012167
                     12,                 1.0662,                0.99132,                 1.2521,                0.74126,                0.24898,                0.34076,                0.18823,                 1.6821,                 2.6103,                 1.7836,              0.0013233,              0.0013233,              0.0013233
                     13,                 1.0483,                0.95472,                 1.2382,                0.75938,                0.33683,                0.43588,                 0.2335,                 1.6533,                 2.3775,                  1.632,               0.001429,               0.001429,               0.001429
                     14,                 1.0656,                0.94275,                 1.2362,                0.58764,                0.30756,                0.29117,                0.10994,                 1.8558,                 2.5799,                 1.7044,              0.0015337,              0.0015337,              0.0015337
                     15,                 1.0983,                0.96373,                 1.2657,                0.66838,                0.43897,                 0.5048,                0.26429,                 1.6112,                 2.0743,                   1.65,              0.0015746,              0.0015746,              0.0015746
                     16,                 1.0711,                 0.9252,                  1.221,                0.62857,                0.37248,                0.43003,                0.26668,                 1.6774,                 2.2675,                 1.7659,              0.0015746,              0.0015746,              0.0015746
                     17,                 1.0443,                0.90799,                 1.2326,                0.52938,                0.50662,                0.36229,                0.21642,                 1.8155,                 2.3008,                 1.8481,               0.001568,               0.001568,               0.001568
