                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3656,                 1.8188,                 1.5746,                0.39383,                0.60865,                0.47943,                0.24265,                 1.7842,                 7.0867,                 2.1042,             0.00054359,             0.00054359,             0.00054359
                      2,                 1.5452,                 1.5064,                 1.6891,                0.01235,                0.23703,                0.00575,                0.00301,                 3.1684,                    inf,                 23.115,              0.0010884,              0.0010884,              0.0010884
                      3,                  1.581,                 1.5013,                 1.6943,                0.28495,                0.42297,                0.29922,                0.15271,                 2.0615,                 7.8873,                 2.6081,              0.0016222,              0.0016222,              0.0016222
                      4,                 1.5267,                 1.4661,                 1.6724,                0.50803,                0.46305,                0.43307,                0.21161,                 1.8594,                 4.5598,                 2.2273,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.4643,                 1.3306,                 1.6332,                0.69777,                0.51188,                0.57365,                0.29998,                 1.7148,                 2.8928,                 2.2051,               0.001601,               0.001601,               0.001601
                      6,                 1.4293,                 1.2867,                 1.6092,                0.75092,                0.53643,                0.64796,                0.35063,                 1.6551,                 2.4602,                  2.039,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4129,                 1.2081,                 1.5787,                0.75793,                0.56987,                0.63949,                0.39552,                 1.5085,                  1.631,                 1.8304,               0.001568,               0.001568,               0.001568
                      8,                 1.3951,                 1.2212,                 1.5717,                0.77243,                0.63024,                0.70397,                0.43958,                 1.4414,                 1.4789,                 1.7063,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3625,                 1.1788,                 1.5454,                0.73272,                0.63417,                0.65924,                0.41887,                 1.3662,                 1.3976,                 1.6855,               0.001535,               0.001535,               0.001535
                     10,                 1.2932,                 1.1063,                 1.4986,                0.79046,                0.56103,                0.63489,                 0.3977,                 1.3912,                 1.4735,                 1.6503,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.316,                 1.0903,                 1.5103,                0.81789,                0.64113,                0.71309,                0.46491,                 1.2568,                 1.2177,                 1.5664,               0.001502,               0.001502,               0.001502
                     12,                 1.2546,                  1.048,                 1.4609,                0.74415,                0.62358,                0.67731,                0.44483,                  1.336,                 1.3869,                 1.6943,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2577,                 1.0531,                 1.4806,                0.81764,                0.65636,                0.73234,                0.49736,                 1.1772,                 1.0981,                 1.5021,               0.001469,               0.001469,               0.001469
                     14,                 1.2463,                 1.0476,                 1.4593,                0.82834,                0.66827,                0.77237,                 0.5173,                 1.1799,                0.99648,                 1.4686,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2388,                 1.0486,                 1.4624,                0.80876,                0.67965,                0.74768,                0.48348,                 1.2179,                 1.1889,                 1.4995,               0.001436,               0.001436,               0.001436
                     16,                 1.1959,                 1.0132,                 1.4264,                0.80776,                0.64984,                0.71872,                0.49232,                 1.2319,                 1.1165,                 1.5256,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1918,                0.98259,                 1.4246,                0.83428,                0.71626,                0.75739,                0.52945,                 1.1472,                 1.0054,                 1.4353,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.161,                0.95837,                 1.4026,                0.87029,                0.71082,                0.80298,                0.51743,                 1.2761,                 1.0564,                 1.6206,              0.0013864,              0.0013864,              0.0013864
                     19,                  1.159,                0.94367,                 1.4151,                 0.8354,                0.72646,                0.78528,                0.54182,                 1.1433,                 1.0015,                 1.4677,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1469,                0.92393,                 1.3954,                 0.8679,                0.67493,                0.75871,                0.51166,                 1.1582,                 1.0351,                  1.479,              0.0013534,              0.0013534,              0.0013534
                     21,                  1.151,                0.91205,                 1.3924,                0.74981,                0.72344,                0.75496,                0.52429,                 1.0937,                0.93506,                 1.4135,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1202,                0.91998,                 1.3717,                 0.8842,                0.69674,                0.79652,                0.56049,                 1.0635,                0.87442,                 1.3721,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1005,                0.89425,                 1.3618,                0.78384,                0.72361,                0.76806,                0.54019,                 1.0546,                 1.0005,                 1.3765,              0.0013039,              0.0013039,              0.0013039
