                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8677,                0.80053,                 1.1044,                 0.8493,                0.70244,                0.78003,                0.57269,                0.98435,                 1.0106,                 1.1666,              0.0011224,              0.0011224,              0.0011224
                     36,                0.83507,                 0.7523,                 1.0963,                 0.8767,                0.73109,                 0.7958,                 0.5667,                  1.037,                0.96379,                 1.1879,              0.0011059,              0.0011059,              0.0011059
                     37,                0.86704,                 0.7871,                 1.1147,                0.84688,                0.73953,                0.77727,                0.53969,                 1.0083,                0.97183,                 1.1862,              0.0010894,              0.0010894,              0.0010894
                     38,                0.85059,                0.77783,                 1.1051,                0.82497,                0.77719,                0.79141,                0.56222,                 1.0155,                0.93313,                 1.1907,              0.0010729,              0.0010729,              0.0010729
                     39,                0.86742,                0.80268,                 1.1279,                0.87141,                0.72106,                0.79904,                0.57683,                0.99581,                0.97556,                 1.1688,              0.0010564,              0.0010564,              0.0010564
                     40,                0.81392,                0.74755,                 1.0863,                0.82852,                0.69598,                0.75684,                0.53412,                  1.025,                 1.1164,                 1.1718,              0.0010399,              0.0010399,              0.0010399
                     41,                0.85854,                0.77079,                 1.1172,                0.82961,                0.72469,                0.78371,                0.56813,                0.95985,                0.96081,                  1.149,              0.0010234,              0.0010234,              0.0010234
                     42,                0.82908,                0.74408,                 1.0913,                0.90107,                 0.6887,                0.79388,                0.57584,                0.99127,                0.93627,                 1.1565,              0.0010069,              0.0010069,              0.0010069
                     43,                0.84429,                0.75258,                 1.1008,                0.78129,                0.72495,                0.77654,                0.55559,                 1.0075,                0.99203,                 1.1653,             0.00099036,             0.00099036,             0.00099036
                     44,                0.82259,                0.74606,                  1.089,                0.83627,                0.71676,                0.79806,                0.55676,                  1.046,                 0.9182,                 1.2058,             0.00097386,             0.00097386,             0.00097386
                     45,                0.79728,                0.69287,                 1.0889,                0.89347,                0.70407,                0.81337,                0.58039,                 1.0253,                0.88612,                 1.1929,             0.00095736,             0.00095736,             0.00095736
                     46,                0.87133,                0.75276,                 1.1114,                0.90021,                0.74431,                0.82357,                0.58863,                0.99546,                0.87321,                 1.1502,             0.00094085,             0.00094085,             0.00094085
                     47,                0.81523,                0.72754,                 1.0748,                0.85139,                0.71737,                0.80678,                0.58636,                0.97759,                0.92864,                 1.1343,             0.00092435,             0.00092435,             0.00092435
                     48,                0.78226,                0.69069,                 1.0759,                0.81214,                0.76474,                0.83452,                0.61359,                0.92717,                0.79011,                 1.1011,             0.00090785,             0.00090785,             0.00090785
                     49,                0.78583,                0.68787,                 1.0688,                0.87679,                0.73969,                0.81932,                 0.5844,                0.96857,                0.83011,                 1.1316,             0.00089134,             0.00089134,             0.00089134
                     50,                0.78842,                0.69297,                 1.0704,                0.85251,                0.75301,                0.81206,                0.58268,                0.95354,                0.80547,                 1.1347,             0.00087484,             0.00087484,             0.00087484
                     51,                0.77755,                0.69272,                 1.0603,                0.76742,                0.77124,                0.80714,                0.57692,                 1.0067,                0.82492,                 1.1731,             0.00085834,             0.00085834,             0.00085834
                     52,                0.79488,                0.70995,                 1.0788,                0.83422,                0.74067,                 0.8005,                0.56895,                0.99069,                0.84855,                 1.1606,             0.00084184,             0.00084184,             0.00084184
                     53,                0.76962,                 0.6691,                 1.0723,                0.84272,                0.74846,                0.82283,                0.60009,                 1.0006,                0.82743,                 1.1726,             0.00082533,             0.00082533,             0.00082533
                     54,                0.79081,                0.69375,                 1.0739,                0.79215,                0.81638,                 0.8273,                0.60061,                0.98309,                0.78067,                  1.152,             0.00080883,             0.00080883,             0.00080883
                     55,                0.76165,                0.66511,                 1.0695,                0.77783,                  0.794,                0.79429,                0.59151,                0.97392,                0.82639,                 1.1425,             0.00079233,             0.00079233,             0.00079233
                     56,                0.77199,                0.71045,                 1.0633,                0.81245,                0.76297,                0.80464,                0.58233,                 1.0083,                0.80963,                 1.1541,             0.00077582,             0.00077582,             0.00077582
                     57,                0.74874,                0.65396,                 1.0536,                0.85807,                0.74582,                0.80748,                0.59552,                0.93517,                0.77642,                 1.1314,             0.00075932,             0.00075932,             0.00075932
                     58,                0.75183,                0.65026,                  1.039,                 0.8599,                0.73336,                0.81828,                0.60389,                0.90839,                 0.7647,                 1.1212,             0.00074282,             0.00074282,             0.00074282
                     59,                0.73882,                0.65816,                 1.0523,                0.84916,                0.76519,                 0.8236,                0.59867,                0.96229,                0.82851,                  1.136,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.7248,                0.63288,                 1.0467,                0.84365,                0.75924,                0.81057,                0.58654,                0.96743,                0.86212,                  1.149,             0.00070981,             0.00070981,             0.00070981
                     61,                0.73111,                0.64235,                 1.0479,                0.82411,                0.77337,                0.80326,                0.57627,                0.92761,                  0.877,                 1.1124,             0.00069331,             0.00069331,             0.00069331
                     62,                0.70585,                0.59916,                 1.0369,                0.81315,                0.74876,                0.80719,                 0.5769,                0.97974,                0.89315,                 1.1278,              0.0006768,              0.0006768,              0.0006768
                     63,                 0.7287,                0.64296,                 1.0373,                0.84123,                0.77186,                0.81957,                0.58135,                0.98487,                0.85078,                 1.1429,              0.0006603,              0.0006603,              0.0006603
                     64,                0.73496,                0.64929,                 1.0522,                0.88842,                0.72601,                0.80787,                0.58492,                0.97081,                 0.8486,                 1.1244,              0.0006438,              0.0006438,              0.0006438
                     65,                0.71335,                0.62397,                 1.0294,                0.84605,                 0.7381,                0.80468,                0.58053,                0.96315,                0.89581,                 1.1103,             0.00062729,             0.00062729,             0.00062729
                     66,                0.70595,                0.65151,                  1.026,                 0.8315,                0.75521,                0.80898,                0.59248,                0.95836,                0.86195,                 1.1175,             0.00061079,             0.00061079,             0.00061079
                     67,                 0.7076,                0.59983,                 1.0135,                0.83772,                0.77295,                0.82907,                0.61944,                0.94986,                0.78835,                 1.1287,             0.00059429,             0.00059429,             0.00059429
                     68,                0.69798,                0.58044,                 1.0352,                0.88698,                0.74538,                0.82978,                0.62007,                0.93791,                0.78466,                  1.114,             0.00057778,             0.00057778,             0.00057778
                     69,                 0.6826,                 0.6031,                 1.0109,                0.91018,                0.75924,                0.84751,                0.61779,                0.95199,                0.74748,                 1.1361,             0.00056128,             0.00056128,             0.00056128
                     70,                0.69344,                0.59384,                 1.0237,                0.87639,                0.76886,                 0.8265,                0.61765,                0.93558,                0.73474,                 1.1418,             0.00054478,             0.00054478,             0.00054478
                     71,                0.68761,                0.57324,                 1.0222,                0.90647,                0.73944,                0.84757,                0.63399,                0.90802,                0.71131,                 1.1238,             0.00052827,             0.00052827,             0.00052827
                     72,                0.70209,                0.60476,                  1.039,                0.84097,                0.81519,                0.85867,                  0.629,                 0.9013,                0.71789,                 1.1061,             0.00051177,             0.00051177,             0.00051177
                     73,                0.69119,                0.58889,                 1.0286,                0.90257,                0.77488,                0.85521,                0.63265,                0.90209,                0.69674,                 1.1168,             0.00049527,             0.00049527,             0.00049527
                     74,                0.66753,                0.56541,                 1.0162,                0.82553,                0.80284,                   0.84,                0.62331,                0.88939,                0.70264,                 1.1179,             0.00047876,             0.00047876,             0.00047876
                     75,                0.68287,                0.58276,                 1.0163,                0.86695,                0.80632,                0.85522,                  0.637,                0.90306,                  0.681,                 1.1069,             0.00046226,             0.00046226,             0.00046226
                     76,                0.66711,                0.56609,                 1.0138,                0.87874,                0.79424,                0.85372,                0.62682,                0.90783,                0.69416,                 1.1024,             0.00044576,             0.00044576,             0.00044576
                     77,                0.65676,                0.55591,                 1.0179,                0.87563,                0.75726,                0.84271,                   0.62,                 0.9298,                0.73492,                 1.1091,             0.00042925,             0.00042925,             0.00042925
                     78,                0.64835,                0.56847,                  1.005,                0.88992,                0.77274,                0.83787,                0.60684,                0.91305,                0.74401,                 1.1104,             0.00041275,             0.00041275,             0.00041275
                     79,                0.68562,                0.59617,                 1.0306,                 0.8994,                0.76122,                0.83395,                0.61874,                0.90104,                0.73118,                 1.0951,             0.00039625,             0.00039625,             0.00039625
                     80,                0.64031,                0.54445,                0.99732,                0.85031,                0.79424,                0.84474,                0.63286,                0.87351,                0.71012,                 1.0758,             0.00037974,             0.00037974,             0.00037974
                     81,                0.66254,                0.57288,                 1.0154,                0.85793,                0.78012,                0.83962,                0.62895,                0.85674,                0.70829,                  1.065,             0.00036324,             0.00036324,             0.00036324
                     82,                0.62872,                0.53408,                0.99983,                0.84269,                0.78607,                0.83053,                0.62111,                0.88983,                0.72909,                 1.0731,             0.00034674,             0.00034674,             0.00034674
                     83,                0.64831,                0.56255,                 1.0131,                0.84147,                0.79934,                0.83565,                0.62525,                0.89687,                0.74956,                 1.0851,             0.00033023,             0.00033023,             0.00033023
                     84,                0.65334,                0.55117,                 1.0089,                0.88584,                0.76544,                0.83951,                0.62532,                0.89863,                0.70746,                 1.0891,             0.00031373,             0.00031373,             0.00031373
                     85,                0.64087,                0.51973,                0.99472,                0.84029,                0.81186,                0.83893,                0.62759,                0.88836,                0.68478,                 1.0874,             0.00029723,             0.00029723,             0.00029723
                     86,                0.65622,                0.54845,                 1.0231,                0.83837,                0.81692,                0.84062,                0.63574,                0.87124,                0.69517,                  1.084,             0.00028072,             0.00028072,             0.00028072
                     87,                0.62807,                0.53367,                 1.0233,                0.85348,                0.80198,                0.84126,                0.62841,                0.87697,                0.69567,                 1.0761,             0.00026422,             0.00026422,             0.00026422
                     88,                0.62284,                0.52896,                0.99873,                0.84194,                0.79202,                0.83527,                0.62064,                0.89344,                0.71329,                 1.0836,             0.00024772,             0.00024772,             0.00024772
                     89,                 0.6329,                0.55021,                 1.0052,                0.82227,                0.80704,                0.82242,                0.61382,                0.89396,                0.71336,                 1.0858,             0.00023121,             0.00023121,             0.00023121
                     90,                0.65582,                0.57164,                 1.0246,                0.85901,                0.79177,                0.82982,                0.61573,                0.89137,                0.68763,                 1.0917,             0.00021471,             0.00021471,             0.00021471
                     91,                0.56803,                0.57819,                0.90761,                0.86029,                0.79948,                0.83329,                0.61226,                0.87505,                0.71992,                 1.0761,             0.00019821,             0.00019821,             0.00019821
                     92,                0.58168,                0.52486,                0.91942,                 0.8826,                0.75995,                0.83975,                 0.6219,                0.88835,                0.73915,                 1.0807,              0.0001817,              0.0001817,              0.0001817
                     93,                0.54834,                0.49611,                0.89904,                0.84649,                0.78829,                0.84102,                0.62924,                0.89113,                0.72756,                 1.0915,              0.0001652,              0.0001652,              0.0001652
                     94,                0.53618,                0.47802,                0.89463,                0.84792,                0.80093,                0.84049,                0.62928,                0.87813,                0.74008,                 1.0825,              0.0001487,              0.0001487,              0.0001487
                     95,                0.55312,                0.45121,                0.90231,                 0.8535,                0.80495,                0.83971,                0.63328,                 0.8718,                0.73095,                 1.0737,             0.00013219,             0.00013219,             0.00013219
                     96,                0.53696,                0.46842,                0.89573,                0.86775,                0.79646,                 0.8382,                0.62923,                0.88184,                0.73872,                 1.0813,             0.00011569,             0.00011569,             0.00011569
                     97,                0.54214,                 0.4729,                0.89571,                0.86534,                0.78189,                0.83513,                0.62921,                0.87981,                 0.7466,                 1.0818,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.53702,                0.46813,                0.90538,                0.88388,                0.77234,                0.83947,                0.62689,                0.87498,                0.73237,                 1.0799,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 0.5325,                0.46082,                 0.9105,                0.87608,                0.78305,                0.84416,                0.63283,                0.86754,                 0.7053,                 1.0808,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.52483,                0.44046,                0.89867,                0.87504,                0.79646,                0.84568,                0.63332,                0.86365,                0.70094,                 1.0786,             4.9677e-05,             4.9677e-05,             4.9677e-05
