                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0983,                   2.58,                 1.3635,                0.00925,                0.61443,                 0.3163,                0.24034,                0.79799,                 3.0569,                 1.1777,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.0775,                 1.4321,                 1.3324,                0.81606,                 0.2244,                0.24056,                0.13526,                 1.1347,                  3.008,                 1.5901,             0.00050654,             0.00050654,             0.00050654
                      3,                 1.1363,                 1.3463,                 1.3585,                0.77174,                0.23134,                0.49246,                0.29837,                 1.1478,                  2.867,                 1.6606,             0.00075246,             0.00075246,             0.00075246
                      4,                 1.1072,                 1.2724,                 1.3562,                0.71782,                0.51764,                0.66129,                0.43669,                 1.2215,                 2.2027,                 1.9178,             0.00098783,             0.00098783,             0.00098783
                      5,                 1.0794,                 1.1818,                 1.3457,                0.76557,                0.40342,                0.56314,                0.35801,                 1.3504,                 2.5133,                 1.7495,              0.0012126,              0.0012126,              0.0012126
                      6,                 1.1303,                 1.1751,                 1.3593,                0.53371,                0.36296,                 0.4023,                 0.2348,                 2.0297,                  2.652,                 2.1861,              0.0014269,              0.0014269,              0.0014269
                      7,                 1.1802,                 1.1808,                 1.3886,                0.60696,                0.58224,                0.49741,                0.28286,                 1.6558,                 2.3468,                 2.1777,               0.001469,               0.001469,               0.001469
                      8,                 1.1124,                 1.1217,                 1.3454,                0.80391,                0.61629,                0.72479,                0.45773,                 1.3342,                  1.505,                 1.9444,               0.001469,               0.001469,               0.001469
                      9,                 1.1266,                 1.0988,                  1.365,                0.68036,                0.59026,                0.63304,                0.38897,                 1.3826,                 1.7957,                 1.7613,               0.001436,               0.001436,               0.001436
                     10,                 1.1038,                  1.043,                 1.3525,                0.68543,                 0.5738,                0.64671,                0.40582,                 1.3751,                 1.7523,                 1.9071,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.1031,                 1.0457,                 1.3428,                0.74054,                 0.7014,                0.74253,                 0.4769,                 1.1737,                 1.2668,                 1.6173,              0.0013699,              0.0013699,              0.0013699
                     12,                  1.096,                  1.021,                 1.3345,                0.64442,                0.52631,                0.55039,                0.35478,                  1.279,                 1.9454,                   1.58,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.0985,                 1.0104,                 1.3354,                0.75037,                0.70684,                0.73619,                0.48321,                 1.2419,                 1.3144,                 1.5621,              0.0013039,              0.0013039,              0.0013039
                     14,                  1.065,                0.95317,                 1.2976,                0.80912,                0.73907,                0.76909,                0.50808,                 1.1581,                 1.2365,                  1.519,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.0232,                0.90614,                 1.2709,                0.87566,                0.71937,                 0.7902,                0.53963,                 1.1427,                  1.087,                  1.525,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.0178,                0.88428,                 1.2811,                0.78951,                0.69439,                0.71736,                0.44236,                 1.3226,                 1.4442,                  1.564,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.0279,                0.89336,                 1.2888,                0.77988,                0.67293,                0.73501,                0.50159,                 1.1615,                 1.1817,                 1.4549,              0.0011719,              0.0011719,              0.0011719
                     18,                0.98619,                 0.8547,                 1.2621,                0.83737,                0.65485,                0.72775,                0.44891,                 1.4723,                 1.3563,                  1.757,              0.0011389,              0.0011389,              0.0011389
                     19,                0.97653,                0.84327,                 1.2711,                0.80647,                0.59367,                0.67503,                0.45507,                 1.1558,                  1.382,                 1.4648,              0.0011059,              0.0011059,              0.0011059
                     20,                0.95319,                0.80009,                 1.2564,                0.88908,                0.69207,                0.78787,                0.54552,                 1.1164,                 1.0212,                 1.5011,              0.0010729,              0.0010729,              0.0010729
