                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2417,                 2.5605,                 1.5406,                0.00827,                 0.5791,                0.29084,                0.19966,                 1.0954,                 2.9144,                  1.367,             0.00035007,             0.00035007,             0.00035007
                      2,                 1.2436,                 1.5883,                 1.5172,                0.74785,                0.12429,                0.34781,                 0.1919,                 1.4709,                 2.7418,                  1.788,             0.00070971,             0.00070971,             0.00070971
                      3,                 1.2455,                 1.4777,                 1.5162,                0.68471,                0.52401,                0.60948,                0.38319,                 1.2908,                 2.0013,                 1.6291,              0.0010621,              0.0010621,              0.0010621
                      4,                  1.238,                  1.385,                 1.5066,                0.58295,                0.44935,                0.50147,                 0.2208,                 1.8792,                 2.1473,                 2.6981,              0.0014072,              0.0014072,              0.0014072
                      5,                   1.24,                 1.3257,                 1.5236,                0.57618,                0.48692,                 0.4854,                0.27137,                 1.7527,                 2.2983,                 2.1401,               0.001601,               0.001601,               0.001601
                      6,                 1.2463,                 1.2856,                 1.5171,                0.60949,                0.51522,                0.48506,                0.27241,                 1.7448,                 1.8222,                 2.1599,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2402,                  1.252,                 1.5427,                0.41578,                0.40618,                0.34341,                0.17774,                 1.7725,                 2.0147,                 1.9553,               0.001568,               0.001568,               0.001568
                      8,                 1.2465,                 1.2457,                 1.4975,                0.64286,                 0.5788,                0.58829,                0.36743,                 1.4325,                 1.7253,                 1.7682,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2136,                 1.1929,                  1.504,                0.68166,                0.62935,                0.64282,                0.40096,                 1.3652,                 1.4091,                 1.6387,               0.001535,               0.001535,               0.001535
                     10,                 1.1764,                 1.1534,                  1.446,                0.70878,                0.61775,                0.66589,                0.42357,                 1.3643,                 1.3428,                 1.6529,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1439,                 1.0921,                 1.4428,                0.73555,                0.61308,                0.69712,                0.44501,                 1.2864,                 1.3401,                 1.5814,               0.001502,               0.001502,               0.001502
                     12,                 1.1618,                 1.0788,                 1.4395,                0.63975,                0.61047,                 0.5787,                0.35436,                 1.4412,                 1.8385,                  1.643,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1551,                 1.0544,                  1.435,                0.72849,                0.57738,                0.64103,                0.40627,                 1.3724,                 1.3959,                  1.617,               0.001469,               0.001469,               0.001469
                     14,                  1.103,                 1.0169,                 1.4169,                 0.8593,                0.64955,                0.74438,                0.47571,                 1.2638,                 1.1618,                 1.6109,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1147,                 1.0226,                 1.4198,                0.77468,                0.63864,                0.71435,                0.45389,                 1.2066,                 1.2412,                 1.4996,               0.001436,               0.001436,               0.001436
                     16,                 1.1124,                0.96383,                 1.4049,                0.79889,                 0.6544,                0.72275,                0.45463,                 1.2978,                 1.2798,                   1.57,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1079,                0.97404,                 1.4026,                0.85463,                0.64371,                0.75169,                0.48588,                  1.251,                 1.1506,                 1.5174,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0556,                0.95886,                 1.3703,                0.74709,                0.68658,                0.71289,                 0.4548,                 1.3288,                 1.2493,                  1.593,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0769,                0.93752,                 1.3712,                0.83023,                0.69514,                0.78358,                0.52736,                 1.1545,                  1.011,                 1.4637,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0538,                0.92729,                 1.3754,                 0.8236,                0.70889,                0.76411,                0.53302,                 1.1515,                 1.0372,                 1.4833,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0638,                0.91148,                 1.3883,                0.83094,                0.73532,                0.79095,                0.53672,                 1.1643,                0.99956,                 1.4462,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0343,                0.89762,                 1.3578,                0.87316,                 0.6667,                0.78035,                0.53342,                  1.153,                 1.1283,                 1.4388,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0216,                0.89957,                 1.3589,                0.79571,                 0.7161,                0.75804,                0.54579,                 1.1123,                0.99437,                 1.4352,              0.0013039,              0.0013039,              0.0013039
                     24,                   1.02,                0.86678,                 1.3508,                 0.8972,                0.65715,                0.78026,                0.56334,                 1.0746,                 0.9677,                 1.3864,              0.0012874,              0.0012874,              0.0012874
                     25,                0.99002,                0.85991,                 1.3313,                0.79866,                0.76977,                0.78262,                0.54865,                  1.101,                0.97633,                 1.3865,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.0161,                0.87021,                 1.3403,                0.76974,                0.75322,                0.78176,                0.50605,                 1.2119,                0.98192,                 1.4668,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0302,                 0.8466,                 1.3424,                0.81396,                0.68287,                 0.7501,                0.48092,                 1.2707,                 1.0887,                 1.5642,              0.0012379,              0.0012379,              0.0012379
                     28,                0.99718,                0.81898,                 1.3177,                0.72207,                0.69984,                0.74918,                0.53153,                 1.1152,                 1.0493,                 1.3943,              0.0012214,              0.0012214,              0.0012214
                     29,                0.96549,                  0.808,                 1.3088,                0.84253,                0.70421,                0.79117,                0.53595,                 1.1254,                0.96396,                 1.4103,              0.0012049,              0.0012049,              0.0012049
                     30,                0.96099,                0.80924,                 1.2993,                0.72973,                0.69291,                0.72512,                0.48043,                 1.2564,                 1.1042,                 1.5231,              0.0011884,              0.0011884,              0.0011884
                     31,                0.96874,                0.77845,                 1.2848,                0.76455,                0.75272,                0.76674,                0.53498,                 1.1248,                0.96483,                 1.3953,              0.0011719,              0.0011719,              0.0011719
                     32,                0.94802,                0.77899,                 1.2882,                0.82907,                 0.6744,                0.76628,                0.53703,                 1.1474,                 1.0534,                 1.4322,              0.0011554,              0.0011554,              0.0011554
                     33,                0.94037,                0.77301,                 1.2833,                0.79471,                0.75818,                0.79718,                0.57575,                 1.0306,                0.93363,                  1.317,              0.0011389,              0.0011389,              0.0011389
                     34,                0.95955,                0.78261,                  1.295,                0.79299,                0.74005,                0.79659,                0.56977,                 1.0478,                0.91613,                 1.3917,              0.0011224,              0.0011224,              0.0011224
                     35,                0.93051,                0.76798,                 1.2858,                0.83939,                0.74595,                0.82042,                0.58094,                 1.0591,                0.84806,                 1.3956,              0.0011059,              0.0011059,              0.0011059
                     36,                0.93795,                0.76216,                 1.2782,                0.82863,                0.74241,                0.80746,                0.55189,                 1.0852,                0.91232,                 1.3942,              0.0010894,              0.0010894,              0.0010894
                     37,                0.92371,                0.75264,                 1.2763,                0.80941,                0.73246,                0.79196,                 0.5679,                   1.05,                0.89886,                 1.3551,              0.0010729,              0.0010729,              0.0010729
                     38,                0.93444,                0.76056,                 1.2782,                 0.8493,                0.70926,                0.79754,                0.56467,                 1.0871,                  0.928,                 1.3922,              0.0010564,              0.0010564,              0.0010564
                     39,                0.93535,                0.74504,                 1.2795,                0.79174,                0.69382,                0.77251,                0.54691,                 1.0495,                0.92138,                 1.3438,              0.0010399,              0.0010399,              0.0010399
                     40,                0.91405,                0.72872,                 1.2626,                0.82409,                0.73685,                0.79429,                0.58177,                 1.0186,                 0.9345,                 1.3025,              0.0010234,              0.0010234,              0.0010234
                     41,                0.92824,                0.75207,                 1.2771,                0.84185,                0.74871,                0.81343,                0.57986,                 1.0381,                0.87476,                 1.3654,              0.0010069,              0.0010069,              0.0010069
                     42,                0.90374,                0.72805,                 1.2498,                0.85308,                0.70797,                0.79479,                0.56783,                 1.0726,                0.93138,                 1.3569,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.8942,                0.70974,                 1.2425,                 0.8187,                0.76665,                0.81811,                0.58646,                 1.0115,                0.81809,                 1.3212,             0.00097386,             0.00097386,             0.00097386
                     44,                0.90179,                0.71905,                 1.2428,                0.84242,                0.73342,                0.81984,                0.58788,                 1.0264,                0.83769,                 1.3865,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.8749,                0.70186,                 1.2339,                0.81442,                0.76323,                0.80259,                0.56476,                 1.0193,                0.84479,                 1.3476,             0.00094085,             0.00094085,             0.00094085
                     46,                0.90052,                0.71022,                 1.2561,                0.77399,                0.78879,                0.81624,                0.59362,                0.99823,                0.85994,                 1.2858,             0.00092435,             0.00092435,             0.00092435
                     47,                0.86901,                0.69132,                 1.2246,                0.78743,                0.77759,                0.82538,                0.60913,                0.98202,                0.81943,                 1.3104,             0.00090785,             0.00090785,             0.00090785
                     48,                0.87584,                0.69835,                 1.2384,                0.77385,                0.79364,                0.82128,                0.59343,                 1.0296,                0.85056,                 1.3457,             0.00089134,             0.00089134,             0.00089134
                     49,                0.84727,                0.69131,                 1.2346,                0.79509,                0.79691,                0.81696,                0.57192,                 1.0582,                0.81302,                 1.3545,             0.00087484,             0.00087484,             0.00087484
                     50,                0.85404,                0.66821,                 1.2056,                0.82762,                0.75097,                0.82719,                0.59922,                 1.0472,                0.84974,                   1.36,             0.00085834,             0.00085834,             0.00085834
                     51,                0.83466,                0.65937,                 1.2136,                0.84602,                0.76266,                0.82391,                0.58658,                  1.021,                0.84052,                  1.331,             0.00084184,             0.00084184,             0.00084184
                     52,                0.86642,                0.67877,                  1.235,                0.78851,                0.77698,                0.81324,                0.59581,                 1.0079,                0.86104,                 1.3111,             0.00082533,             0.00082533,             0.00082533
                     53,                0.83096,                0.66586,                 1.1949,                0.81632,                0.74179,                0.81489,                0.59309,                 1.0114,                0.88159,                 1.3296,             0.00080883,             0.00080883,             0.00080883
                     54,                0.83979,                0.65827,                 1.1978,                0.83824,                0.72231,                0.80996,                0.58431,                0.99463,                 0.8687,                 1.3085,             0.00079233,             0.00079233,             0.00079233
                     55,                0.82058,                0.63756,                 1.2016,                 0.8362,                0.74123,                0.82012,                0.59929,                0.97507,                 0.8433,                 1.2759,             0.00077582,             0.00077582,             0.00077582
                     56,                0.83315,                0.64888,                 1.1975,                0.82408,                0.75985,                0.82902,                0.60004,                 0.9841,                0.79888,                 1.3166,             0.00075932,             0.00075932,             0.00075932
                     57,                0.81437,                 0.6297,                  1.181,                0.86248,                0.74088,                0.82257,                0.60055,                 1.0066,                0.88165,                 1.3246,             0.00074282,             0.00074282,             0.00074282
                     58,                0.80059,                0.61103,                 1.1783,                0.80229,                0.76951,                0.82672,                0.59607,                 1.0065,                0.82737,                 1.3094,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.7765,                 0.6142,                 1.1712,                0.81525,                0.74894,                0.80524,                0.59052,                 1.0367,                0.86425,                 1.3346,             0.00070981,             0.00070981,             0.00070981
                     60,                0.80511,                0.62996,                 1.1851,                0.83166,                0.72893,                0.81381,                0.59611,                0.97189,                0.86107,                  1.281,             0.00069331,             0.00069331,             0.00069331
                     61,                0.78348,                0.59859,                 1.1648,                0.79676,                 0.8052,                0.82526,                0.60768,                0.97166,                0.82548,                 1.2886,              0.0006768,              0.0006768,              0.0006768
                     62,                0.79732,                0.59823,                 1.1648,                0.79318,                0.80612,                0.84593,                0.60741,                 1.0131,                0.82123,                 1.3323,              0.0006603,              0.0006603,              0.0006603
                     63,                0.78539,                0.59711,                 1.1639,                0.81628,                0.78013,                0.82477,                0.60973,                0.98852,                0.79748,                 1.3481,              0.0006438,              0.0006438,              0.0006438
                     64,                0.77661,                0.59822,                 1.1522,                0.85205,                0.72525,                0.81265,                0.59502,                 0.9852,                0.81192,                 1.3236,             0.00062729,             0.00062729,             0.00062729
                     65,                0.79774,                0.59174,                 1.1634,                 0.8377,                0.74523,                0.80329,                0.59231,                 1.0083,                0.87463,                 1.3346,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.7793,                 0.6132,                 1.1647,                0.80517,                0.72339,                 0.7938,                0.59379,                0.97558,                 0.9054,                 1.2946,             0.00059429,             0.00059429,             0.00059429
                     67,                  0.748,                0.57701,                 1.1513,                0.80757,                0.78144,                0.83179,                0.62212,                0.93802,                0.76919,                 1.2595,             0.00057778,             0.00057778,             0.00057778
