                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2861,                 1.6927,                 1.5458,                0.06043,                0.18336,                0.03844,                0.01366,                  1.828,                 56.509,                 2.4099,             0.00054455,             0.00054455,             0.00054455
                      2,                 1.5085,                 1.4121,                 1.6795,                0.00218,                0.07025,                0.00175,                0.00056,                 5.2817,                    inf,                 1041.7,               0.001093,               0.001093,               0.001093
                      3,                 1.5053,                 1.4126,                 1.6921,                0.00085,                0.01685,                0.00044,                0.00026,                    nan,                    nan,                    nan,               0.001634,               0.001634,               0.001634
                      4,                 1.4913,                 1.3688,                 1.6883,                0.40232,                0.35423,                0.32306,                0.17295,                 2.1593,                 3.8138,                 2.4848,               0.001634,               0.001634,               0.001634
                      5,                 1.3979,                 1.2892,                 1.6196,                 0.4639,                0.26768,                0.28571,                0.17151,                 2.1941,                 3.6544,                 2.4706,               0.001623,               0.001623,               0.001623
                      6,                 1.3554,                 1.2267,                 1.5893,                0.39881,                0.49229,                0.37223,                0.17618,                 1.8366,                 2.7914,                 2.1541,               0.001612,               0.001612,               0.001612
                      7,                 1.3251,                 1.1522,                 1.5604,                0.61355,                0.56214,                0.55176,                 0.3134,                 1.5991,                 2.0707,                 1.8774,               0.001601,               0.001601,               0.001601
                      8,                 1.2856,                 1.1149,                 1.5214,                0.77302,                0.49043,                0.59955,                0.36797,                 1.4914,                 1.3716,                 1.7163,                0.00159,                0.00159,                0.00159
                      9,                 1.2496,                  1.087,                 1.4979,                0.69036,                0.60457,                0.58015,                0.33423,                 1.5342,                 1.4802,                 1.7434,               0.001579,               0.001579,               0.001579
                     10,                   1.26,                 1.0624,                 1.5065,                0.77132,                0.55985,                0.62254,                0.40455,                 1.2539,                 1.3595,                 1.5044,               0.001568,               0.001568,               0.001568
                     11,                 1.2084,                 1.0174,                 1.4622,                0.67197,                0.58979,                0.61547,                0.37199,                 1.4997,                 1.5612,                 1.8114,               0.001557,               0.001557,               0.001557
                     12,                 1.1986,                0.98508,                 1.4577,                0.76229,                0.59607,                0.64173,                 0.4115,                 1.2867,                 1.2596,                  1.558,               0.001546,               0.001546,               0.001546
                     13,                 1.1748,                0.99078,                 1.4483,                0.73779,                0.65698,                0.68994,                0.45136,                 1.2932,                 1.1426,                 1.6201,               0.001535,               0.001535,               0.001535
                     14,                 1.1697,                0.97283,                 1.4456,                0.71116,                0.59967,                0.65359,                0.43208,                 1.2618,                  1.112,                 1.5663,               0.001524,               0.001524,               0.001524
                     15,                 1.1622,                0.94792,                 1.4284,                0.79333,                 0.6098,                0.68279,                0.45346,                 1.2088,                 1.1687,                 1.4749,               0.001513,               0.001513,               0.001513
                     16,                 1.1521,                0.93967,                 1.4129,                0.86338,                0.57964,                0.68749,                0.48157,                 1.1519,                 1.0848,                 1.4437,               0.001502,               0.001502,               0.001502
