                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3149,                 2.5153,                 1.5665,                0.95395,                 0.0736,                0.29868,                0.18267,                 1.0891,                 2.7928,                 1.4754,             0.00036674,             0.00036674,             0.00036674
                      2,                 1.2546,                 1.5435,                 1.4947,                0.75483,                0.09696,                0.14739,                0.05346,                 1.7237,                 3.0819,                 2.0095,              0.0007353,              0.0007353,              0.0007353
                      3,                 1.2854,                 1.4256,                 1.5033,                0.69826,                0.34933,                0.57859,                0.32999,                 1.6408,                 2.1633,                 1.9444,              0.0010887,              0.0010887,              0.0010887
                      4,                 1.2459,                 1.3312,                 1.4863,                 0.5117,                0.50435,                0.42732,                0.23391,                 1.7289,                 2.3181,                 2.0867,              0.0014269,              0.0014269,              0.0014269
                      5,                 1.2764,                 1.3228,                 1.5109,                0.54206,                0.46473,                0.45547,                0.27442,                 1.7156,                 1.9863,                 2.2021,               0.001535,               0.001535,               0.001535
                      6,                 1.2439,                 1.2525,                 1.4881,                0.48536,                0.55899,                 0.4826,                0.24312,                 1.6368,                 2.0367,                  1.979,               0.001502,               0.001502,               0.001502
                      7,                 1.2538,                 1.1897,                 1.4674,                0.71722,                0.62145,                0.66383,                0.38427,                 1.5666,                 1.7703,                 1.9025,               0.001469,               0.001469,               0.001469
                      8,                 1.2218,                 1.1764,                 1.4798,                0.53761,                0.60045,                0.56465,                0.32531,                 1.5437,                 1.8982,                 1.7906,               0.001436,               0.001436,               0.001436
                      9,                 1.1876,                 1.0948,                 1.4461,                0.72258,                0.72449,                0.74397,                 0.4186,                 1.5226,                 1.7021,                 1.8875,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1953,                 1.0833,                 1.4369,                0.86534,                0.63664,                0.72131,                0.45556,                 1.1614,                 1.1531,                 1.6052,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1644,                 1.0402,                 1.4276,                 0.8162,                0.66302,                0.74268,                0.49981,                 1.1796,                 1.2579,                 1.5698,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1638,                 1.0263,                 1.4216,                0.80537,                0.71526,                0.76555,                0.48835,                 1.2936,                 1.1678,                 1.6777,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1258,                0.97845,                 1.4003,                0.80616,                0.73987,                0.77701,                0.49283,                 1.1994,                0.96177,                 1.5552,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1087,                0.96041,                 1.3823,                  0.817,                0.69882,                0.76819,                0.52457,                 1.1802,                 1.1597,                 1.5462,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0919,                0.94813,                 1.3691,                0.81382,                 0.7548,                0.81159,                 0.5647,                 1.0542,                0.92091,                 1.4546,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1033,                0.94584,                 1.3677,                0.82145,                0.72486,                0.75798,                0.51796,                 1.1232,                 1.0399,                 1.5777,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0838,                0.91077,                 1.3475,                0.81551,                0.75207,                0.80375,                0.53358,                 1.1465,                 1.1838,                 1.5047,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0626,                0.88197,                 1.3314,                0.81532,                0.75926,                0.80088,                0.55522,                0.98505,                0.91097,                 1.4043,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0434,                0.86196,                 1.3293,                 0.8363,                0.75208,                0.82388,                0.56774,                 1.0556,                0.89703,                 1.3828,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0194,                0.83814,                  1.315,                 0.7969,                0.77852,                0.81338,                0.59127,                0.97691,                0.85155,                 1.3877,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.0317,                0.86258,                 1.3212,                0.85315,                0.74232,                0.84344,                0.59337,                0.98353,                0.75336,                 1.3523,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.0276,                0.82751,                 1.3114,                0.86044,                 0.7436,                  0.805,                 0.5345,                 1.2005,                0.97816,                 1.5542,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.0036,                0.82067,                 1.3007,                0.86976,                0.72495,                0.82232,                0.57892,                 1.0423,                0.91812,                 1.4404,             0.00094085,             0.00094085,             0.00094085
