                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3656,                 1.8188,                 1.5746,                0.39383,                0.60865,                0.47943,                0.24265,                 1.7842,                 7.0867,                 2.1042,             0.00054359,             0.00054359,             0.00054359
                      2,                  1.554,                 1.5017,                 1.6856,                0.46545,                0.37651,                0.29498,                0.15979,                 2.1698,                 5.7125,                 3.2571,               0.001092,               0.001092,               0.001092
                      3,                 1.5434,                   1.48,                 1.6717,                0.26124,                 0.3312,                0.25224,                  0.138,                 2.3332,                 8.0318,                 2.7956,              0.0016331,              0.0016331,              0.0016331
                      4,                 1.5296,                 1.4698,                 1.6829,                0.16678,                0.36194,                 0.1493,                0.07451,                 2.3823,                 6.3081,                 3.2443,               0.001634,               0.001634,               0.001634
                      5,                 1.4728,                 1.3628,                  1.639,                0.60019,                0.45387,                0.47878,                0.24893,                 1.8979,                 3.1686,                 2.2796,               0.001623,               0.001623,               0.001623
                      6,                   1.47,                 1.3459,                 1.6304,                0.66978,                0.42902,                  0.504,                0.27763,                 1.8278,                 2.3131,                 2.2642,               0.001612,               0.001612,               0.001612
                      7,                 1.4167,                  1.268,                 1.5925,                0.62868,                 0.4621,                 0.4362,                0.24517,                 1.6285,                 2.0852,                 1.9549,               0.001601,               0.001601,               0.001601
                      8,                 1.4101,                 1.2652,                  1.594,                 0.7618,                0.55085,                0.64796,                0.36165,                 1.5622,                 1.6155,                 1.9092,                0.00159,                0.00159,                0.00159
                      9,                 1.3901,                 1.2405,                 1.5671,                0.76095,                0.57818,                0.65709,                0.35791,                 1.5705,                  1.748,                 1.8561,               0.001579,               0.001579,               0.001579
                     10,                 1.3009,                 1.1317,                 1.5171,                0.69084,                0.60119,                0.62429,                0.37847,                  1.516,                 1.6831,                  1.816,               0.001568,               0.001568,               0.001568
                     11,                 1.3011,                 1.1038,                 1.5063,                0.82893,                0.64961,                0.70719,                0.45892,                 1.2551,                 1.1017,                 1.5339,               0.001557,               0.001557,               0.001557
                     12,                 1.2548,                 1.0707,                 1.4665,                 0.6698,                0.64295,                0.67011,                0.42188,                 1.4039,                 1.3229,                 1.7115,               0.001546,               0.001546,               0.001546
                     13,                 1.2686,                 1.0901,                 1.4992,                0.84759,                 0.6887,                0.75256,                0.48855,                 1.2397,                 1.0917,                 1.5833,               0.001535,               0.001535,               0.001535
                     14,                 1.2703,                 1.0683,                 1.4773,                0.82379,                0.67686,                0.76265,                0.49849,                 1.3152,                 1.0928,                 1.5854,               0.001524,               0.001524,               0.001524
                     15,                 1.2454,                  1.029,                 1.4598,                0.83536,                 0.7288,                0.77278,                0.45583,                 1.4288,                 1.0534,                 1.6615,               0.001513,               0.001513,               0.001513
                     16,                 1.2302,                 1.0446,                  1.453,                0.81968,                0.68536,                0.74352,                0.50194,                 1.1637,                  1.228,                  1.483,               0.001502,               0.001502,               0.001502
                     17,                 1.2032,                0.99989,                 1.4313,                0.88078,                0.68872,                0.77486,                0.52746,                 1.1709,                0.96136,                 1.4998,               0.001491,               0.001491,               0.001491
                     18,                 1.1863,                  1.005,                 1.4237,                0.85284,                0.70407,                0.77301,                0.51198,                 1.2075,                 1.0651,                  1.535,                0.00148,                0.00148,                0.00148
                     19,                 1.1803,                0.96655,                 1.4239,                0.84339,                 0.6985,                0.77821,                0.54245,                 1.1271,                0.95861,                 1.4687,               0.001469,               0.001469,               0.001469
                     20,                 1.1723,                0.93358,                 1.4215,                 0.8206,                0.68415,                0.77369,                 0.5452,                 1.1683,                 0.9954,                 1.4601,               0.001458,               0.001458,               0.001458
                     21,                 1.1419,                0.91866,                 1.3874,                0.88205,                0.65964,                 0.7622,                0.52087,                 1.1419,                0.93793,                   1.44,               0.001447,               0.001447,               0.001447
                     22,                 1.1446,                0.93856,                 1.3934,                0.84264,                 0.6962,                0.74948,                0.52481,                 1.0996,                0.96831,                 1.4067,               0.001436,               0.001436,               0.001436
                     23,                 1.1152,                0.90757,                 1.3761,                0.85132,                0.72484,                 0.7913,                0.55276,                 1.0501,                0.85026,                 1.3678,               0.001425,               0.001425,               0.001425
                     24,                 1.1202,                0.91169,                 1.3758,                0.85879,                0.68706,                0.77655,                0.54533,                 1.1137,                0.91546,                 1.4712,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.1124,                0.88668,                 1.3755,                0.86583,                0.73158,                0.77621,                0.55776,                 1.0903,                0.87065,                 1.4155,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.1013,                0.86141,                 1.3536,                0.84842,                0.66453,                0.75301,                0.52951,                 1.0754,                0.97333,                 1.4371,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.0799,                0.85165,                 1.3546,                0.76214,                0.73463,                0.78646,                 0.5473,                 1.0817,                 1.0557,                 1.3922,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.0886,                0.86389,                 1.3585,                0.83278,                0.76297,                0.82566,                0.60176,                 1.0254,                0.80295,                 1.3684,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.0482,                0.82884,                 1.3244,                0.83884,                0.74789,                0.80664,                0.57462,                 1.0104,                0.77721,                  1.325,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.0618,                0.81257,                 1.3323,                0.87245,                0.69716,                0.79059,                0.54597,                 1.0915,                  1.009,                  1.392,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.0516,                0.80948,                 1.3352,                0.86508,                0.71284,                0.79688,                0.57063,                 1.0389,                0.92016,                 1.3282,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.0376,                0.81123,                 1.3226,                0.86554,                0.73513,                0.79844,                0.55429,                 1.0572,                0.85791,                 1.3842,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.0193,                0.80071,                 1.3099,                0.83226,                0.71412,                0.78199,                0.57429,                0.99301,                0.85085,                 1.3217,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.0196,                0.77473,                 1.3084,                0.85038,                0.74289,                 0.7959,                0.58492,                0.96831,                0.82134,                 1.2802,              0.0013039,              0.0013039,              0.0013039
                     35,                0.99287,                0.76518,                 1.2835,                0.80106,                0.74315,                0.79648,                0.56924,                 1.0512,                0.86303,                 1.4082,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.0131,                0.76738,                 1.2909,                0.86957,                0.77903,                0.82875,                0.60893,                0.99489,                0.77031,                 1.3446,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.0011,                0.76812,                 1.2851,                0.84339,                0.72122,                0.79286,                 0.5642,                 1.0825,                0.87209,                 1.4382,              0.0012709,              0.0012709,              0.0012709
                     38,                0.98922,                0.76583,                 1.2932,                0.85144,                0.76156,                0.81587,                0.57676,                 1.0306,                0.84202,                 1.3677,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.0013,                0.76903,                 1.2924,                 0.8482,                0.73392,                 0.7907,                0.56314,                 1.0687,                0.88013,                  1.374,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.0032,                0.75005,                 1.2887,                0.81966,                0.77539,                0.82623,                0.60525,                 0.9519,                0.75408,                 1.3084,              0.0012379,              0.0012379,              0.0012379
                     41,                0.96999,                0.73086,                 1.2871,                0.90208,                0.72463,                0.81564,                0.60145,                 0.9568,                0.75666,                 1.3292,              0.0012269,              0.0012269,              0.0012269
                     42,                0.97532,                0.72582,                 1.2786,                0.86382,                0.75587,                0.81577,                0.59446,                 1.0159,                0.80769,                   1.36,              0.0012159,              0.0012159,              0.0012159
                     43,                0.96412,                0.72154,                  1.267,                0.85215,                0.74535,                0.79695,                0.57976,                0.99807,                  0.815,                 1.3524,              0.0012049,              0.0012049,              0.0012049
                     44,                0.94304,                0.71884,                 1.2585,                0.84513,                0.78364,                0.82545,                0.59896,                0.95956,                0.81603,                 1.2878,              0.0011939,              0.0011939,              0.0011939
                     45,                0.94934,                0.71042,                  1.261,                0.84856,                0.72329,                 0.8025,                0.59618,                0.95352,                0.75358,                 1.2959,              0.0011829,              0.0011829,              0.0011829
                     46,                0.95104,                0.71706,                 1.2678,                 0.8449,                0.76081,                0.82437,                0.59333,                 1.0119,                0.79026,                 1.3445,              0.0011719,              0.0011719,              0.0011719
                     47,                0.93497,                0.70118,                 1.2385,                0.87407,                0.74058,                0.82507,                0.60339,                0.92083,                0.79295,                 1.2595,              0.0011609,              0.0011609,              0.0011609
                     48,                 0.9119,                0.67474,                 1.2393,                0.80935,                0.76666,                 0.8176,                0.58382,                0.97352,                0.74481,                 1.2982,              0.0011499,              0.0011499,              0.0011499
                     49,                0.91965,                 0.6973,                 1.2471,                0.85462,                0.71819,                0.79785,                0.57877,                0.98974,                0.77232,                  1.342,              0.0011389,              0.0011389,              0.0011389
                     50,                0.92465,                0.68979,                  1.241,                0.93195,                0.69871,                0.81179,                0.59243,                0.94701,                0.78787,                 1.2967,              0.0011279,              0.0011279,              0.0011279
                     51,                0.90199,                0.67218,                 1.2283,                0.84715,                0.75639,                0.82348,                0.60345,                0.91413,                0.71502,                 1.2544,              0.0011169,              0.0011169,              0.0011169
                     52,                0.91339,                0.67921,                 1.2419,                0.83096,                0.75337,                0.81397,                0.58929,                0.97888,                0.82141,                 1.2958,              0.0011059,              0.0011059,              0.0011059
                     53,                0.91001,                0.66867,                 1.2289,                0.83418,                0.78456,                0.82098,                0.60725,                0.93442,                0.73427,                 1.2708,              0.0010949,              0.0010949,              0.0010949
                     54,                0.87611,                 0.6547,                 1.2143,                0.83952,                0.75985,                0.81571,                0.60793,                0.95073,                0.74636,                 1.2669,              0.0010839,              0.0010839,              0.0010839
                     55,                0.86439,                0.62576,                 1.1922,                0.90146,                0.73921,                0.83447,                0.62014,                0.89382,                0.70985,                 1.2329,              0.0010729,              0.0010729,              0.0010729
                     56,                0.89439,                 0.6392,                 1.2136,                0.83877,                0.76173,                0.82082,                 0.5956,                0.98561,                0.74632,                 1.3261,              0.0010619,              0.0010619,              0.0010619
                     57,                0.88969,                0.65282,                 1.2175,                 0.8833,                0.76075,                0.81059,                0.60329,                0.93773,                0.74484,                 1.2641,              0.0010509,              0.0010509,              0.0010509
                     58,                0.87171,                0.63006,                 1.2051,                 0.8815,                0.73399,                 0.8124,                0.60037,                0.92711,                0.73855,                 1.2383,              0.0010399,              0.0010399,              0.0010399
                     59,                0.85816,                0.60935,                 1.1929,                0.81122,                0.79991,                0.83192,                0.61404,                0.96599,                 0.7727,                 1.2964,              0.0010289,              0.0010289,              0.0010289
                     60,                0.84851,                0.60194,                 1.1871,                0.90333,                0.77043,                0.84989,                0.63146,                0.93029,                0.71364,                  1.251,              0.0010179,              0.0010179,              0.0010179
                     61,                0.87433,                0.61979,                 1.2061,                0.84855,                0.77416,                 0.8189,                0.60268,                0.87239,                0.70786,                 1.2509,              0.0010069,              0.0010069,              0.0010069
                     62,                0.85494,                0.62339,                 1.1932,                0.88894,                0.78023,                0.83637,                0.61453,                0.90611,                0.68672,                 1.2572,             0.00099587,             0.00099587,             0.00099587
                     63,                0.84061,                0.60636,                 1.1854,                0.83815,                0.78758,                  0.831,                0.62712,                0.87781,                0.70145,                 1.2174,             0.00098486,             0.00098486,             0.00098486
                     64,                0.81264,                0.58933,                 1.1701,                0.89471,                0.69427,                0.80071,                 0.5956,                0.93067,                0.77139,                 1.2564,             0.00097386,             0.00097386,             0.00097386
                     65,                0.82281,                0.59699,                 1.1694,                0.86485,                0.72705,                0.81786,                0.59828,                0.93922,                0.73071,                   1.24,             0.00096286,             0.00096286,             0.00096286
                     66,                 0.8166,                 0.5768,                 1.1662,                0.87487,                0.73614,                0.81521,                0.60688,                0.96391,                 0.7412,                 1.3172,             0.00095186,             0.00095186,             0.00095186
                     67,                0.80156,                 0.5703,                 1.1651,                  0.877,                0.75417,                0.82421,                0.62673,                0.90215,                0.70913,                 1.2377,             0.00094085,             0.00094085,             0.00094085
                     68,                0.80722,                0.57247,                 1.1594,                0.88567,                 0.7631,                0.83992,                0.62508,                0.92834,                0.67751,                 1.3111,             0.00092985,             0.00092985,             0.00092985
                     69,                 0.8075,                0.57425,                 1.1636,                 0.8567,                0.77558,                0.83916,                0.62399,                 0.9368,                 0.6885,                 1.2685,             0.00091885,             0.00091885,             0.00091885
                     70,                0.78716,                0.56459,                 1.1499,                0.87631,                0.74305,                0.80486,                0.60842,                0.89427,                0.67402,                 1.2805,             0.00090785,             0.00090785,             0.00090785
                     71,                 0.7898,                0.55458,                  1.154,                0.87976,                0.78006,                0.85718,                0.64542,                0.87172,                0.62022,                 1.2364,             0.00089685,             0.00089685,             0.00089685
