                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3241,                 3.0278,                 1.5818,                0.00727,                 0.5422,                0.26333,                 0.1375,                 1.1046,                 3.0869,                 1.3864,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.2389,                 1.8461,                 1.4803,                0.96166,                0.22465,                0.30754,                0.17892,                 1.1923,                 2.7224,                 1.4862,             0.00038265,             0.00038265,             0.00038265
                      3,                 1.1911,                 1.4669,                   1.45,                0.91949,                0.30597,                 0.3475,                0.19727,                 1.2314,                 2.4233,                 1.5792,             0.00058114,             0.00058114,             0.00058114
                      4,                  1.196,                 1.3628,                 1.4438,                0.85469,                0.29147,                0.43016,                0.24528,                 1.3544,                 2.3747,                 1.6745,             0.00077884,             0.00077884,             0.00077884
                      5,                 1.2123,                 1.3175,                 1.4546,                0.72591,                0.26629,                0.44475,                0.25433,                 1.4015,                 2.4898,                 1.6933,             0.00097574,             0.00097574,             0.00097574
                      6,                 1.2188,                 1.2794,                 1.4533,                0.67317,                0.27816,                0.45719,                 0.2464,                 1.6066,                  2.427,                 2.2318,              0.0011719,              0.0011719,              0.0011719
                      7,                 1.2455,                 1.2878,                 1.4675,                0.77718,                0.22388,                0.35941,                0.17801,                 1.7901,                 2.5321,                 2.3461,              0.0013672,              0.0013672,              0.0013672
                      8,                 1.2447,                 1.2516,                 1.4771,                0.34644,                  0.324,                0.26688,                0.12134,                  2.055,                 2.3907,                 2.2119,              0.0015617,              0.0015617,              0.0015617
                      9,                 1.2654,                 1.2311,                 1.4759,                0.54202,                0.31052,                0.35828,                0.16627,                 2.0907,                 2.6888,                 2.5678,              0.0016406,              0.0016406,              0.0016406
                     10,                 1.2228,                 1.1597,                 1.4427,                0.40549,                0.37034,                0.30777,                0.17764,                 2.2123,                 4.7335,                 2.3496,              0.0016373,              0.0016373,              0.0016373
                     11,                 1.2444,                 1.1564,                 1.4709,                0.58236,                 0.4459,                0.44977,                 0.2708,                 1.9047,                 1.8923,                 2.0281,               0.001634,               0.001634,               0.001634
                     12,                 1.2203,                 1.1234,                 1.4616,                0.45134,                0.41978,                0.39731,                0.22507,                 2.1053,                 1.9097,                 2.0204,              0.0016307,              0.0016307,              0.0016307
                     13,                 1.2365,                 1.1088,                 1.4621,                0.65435,                0.62119,                0.62414,                0.34458,                 1.5785,                 1.4542,                 1.8256,              0.0016274,              0.0016274,              0.0016274
                     14,                 1.1747,                 1.0255,                 1.4267,                0.56859,                0.52957,                0.48658,                0.27407,                 1.8783,                 2.1072,                 2.1177,              0.0016241,              0.0016241,              0.0016241
                     15,                 1.1835,                 1.0597,                 1.4229,                0.67931,                0.50302,                0.54188,                0.28917,                 1.7526,                 1.8789,                 2.1217,              0.0016208,              0.0016208,              0.0016208
                     16,                 1.1771,                 1.0306,                 1.4265,                0.72986,                0.60572,                0.62198,                0.36834,                 1.5969,                 1.5316,                 1.8328,              0.0016175,              0.0016175,              0.0016175
