                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3067,                 1.9958,                 1.5227,                0.06554,                0.44335,                0.05752,                0.02413,                 1.9572,                 56.515,                 2.0713,             0.00046676,             0.00046676,             0.00046676
                      2,                 1.4838,                 1.5705,                 1.6487,                0.21496,                0.18087,                0.11063,                0.06043,                 2.5355,                 37.385,                 3.4531,             0.00094392,             0.00094392,             0.00094392
                      3,                 1.5224,                 1.5661,                 1.6714,                  4e-05,                0.00877,                  2e-05,                      0,                 5.7564,                 706.47,                 37.625,              0.0014147,              0.0014147,              0.0014147
                      4,                 1.5696,                 1.5662,                 1.7392,                  4e-05,                0.00877,                  2e-05,                      0,                    nan,                    nan,                    nan,               0.001634,               0.001634,               0.001634
                      5,                 1.4735,                 1.4257,                 1.6358,                0.00106,                0.03011,                0.00055,                0.00032,                  3.668,                    inf,                 47.149,               0.001623,               0.001623,               0.001623
                      6,                 1.4377,                  1.354,                 1.6331,                0.47699,                0.40798,                0.35737,                0.17267,                 2.0139,                 8.3146,                 2.5465,               0.001612,               0.001612,               0.001612
                      7,                 1.4495,                 1.3401,                 1.6316,                0.46833,                0.43378,                0.35831,                0.19097,                 2.0245,                 3.1128,                  2.177,               0.001601,               0.001601,               0.001601
                      8,                 1.3961,                 1.2928,                 1.5939,                 0.6865,                0.51762,                0.55708,                0.30539,                 1.6237,                 2.1197,                 1.9023,                0.00159,                0.00159,                0.00159
                      9,                 1.3926,                 1.2614,                 1.5816,                0.70877,                0.55555,                 0.5833,                0.33875,                 1.5592,                 1.7833,                 1.8418,               0.001579,               0.001579,               0.001579
                     10,                 1.3566,                 1.2101,                 1.5442,                0.73948,                 0.5904,                0.63066,                0.40887,                 1.3689,                  1.774,                 1.6393,               0.001568,               0.001568,               0.001568
                     11,                 1.2921,                 1.1693,                 1.5049,                0.66554,                0.64203,                0.65495,                0.42452,                 1.3615,                 1.3624,                 1.6621,               0.001557,               0.001557,               0.001557
