                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3859,                 1.7331,                 1.5791,                0.00061,                0.05144,                0.00033,                  9e-05,                 4.1724,                    inf,                 23.794,             0.00054359,             0.00054359,             0.00054359
                      2,                 1.5989,                 1.5598,                 1.7355,                0.00684,                0.24627,                0.00673,                0.00234,                 2.9392,                    inf,                 7.7641,               0.001092,               0.001092,               0.001092
                      3,                 1.5694,                 1.5055,                 1.7071,                0.00749,                0.00968,                0.00115,                0.00034,                  4.466,                 5.7907,                 5.3504,              0.0016331,              0.0016331,              0.0016331
                      4,                  1.548,                 1.5022,                 1.6975,                0.48105,                 0.4411,                0.38665,                0.18207,                 2.0226,                 6.1042,                 2.7026,               0.001634,               0.001634,               0.001634
                      5,                 1.4939,                 1.3905,                 1.6641,                0.55003,                0.54762,                0.53527,                0.25215,                 1.7579,                 2.9255,                 2.1759,               0.001623,               0.001623,               0.001623
                      6,                 1.4569,                 1.3576,                 1.6375,                0.75292,                0.48259,                0.57522,                0.32365,                 1.6257,                 2.3769,                 1.9612,               0.001612,               0.001612,               0.001612
                      7,                 1.4228,                 1.2786,                 1.6001,                0.73039,                0.60714,                0.62824,                0.32023,                 1.5905,                 1.7089,                 2.0226,               0.001601,               0.001601,               0.001601
                      8,                 1.3975,                 1.2788,                  1.593,                0.72338,                0.53491,                0.59565,                0.33629,                 1.6583,                 1.9105,                 1.8937,                0.00159,                0.00159,                0.00159
                      9,                 1.3957,                 1.2281,                 1.5729,                0.61371,                0.57815,                0.54857,                0.30252,                 1.5897,                 1.8321,                  1.822,               0.001579,               0.001579,               0.001579
                     10,                 1.3197,                 1.1541,                  1.519,                 0.8647,                0.60509,                 0.6957,                0.41344,                 1.5226,                 1.4402,                 1.8291,               0.001568,               0.001568,               0.001568
                     11,                 1.3208,                 1.1667,                 1.5189,                0.73283,                0.68084,                0.72046,                0.46186,                 1.3043,                 1.2137,                 1.5778,               0.001557,               0.001557,               0.001557
                     12,                 1.2796,                 1.1066,                 1.4915,                0.87387,                0.60794,                0.69803,                0.47265,                 1.2306,                 1.1223,                 1.5207,               0.001546,               0.001546,               0.001546
                     13,                 1.2692,                 1.0972,                 1.4982,                0.78588,                0.68168,                0.72024,                0.47188,                 1.2362,                 1.1482,                 1.5507,               0.001535,               0.001535,               0.001535
                     14,                 1.2836,                 1.1026,                 1.4882,                0.80322,                0.65357,                0.73763,                0.49281,                 1.1657,                0.98911,                 1.4871,               0.001524,               0.001524,               0.001524
                     15,                 1.2614,                 1.0833,                 1.4811,                0.79508,                0.65112,                0.71757,                0.44575,                 1.3301,                 1.2352,                 1.6672,               0.001513,               0.001513,               0.001513
                     16,                 1.2621,                 1.0869,                 1.4755,                0.82253,                0.64776,                0.72074,                0.50081,                 1.1469,                 0.9941,                  1.468,               0.001502,               0.001502,               0.001502
                     17,                 1.2144,                 1.0398,                 1.4509,                0.86304,                0.67924,                0.75819,                0.48083,                 1.3542,                  1.123,                  1.604,               0.001491,               0.001491,               0.001491
                     18,                 1.1966,                 1.0097,                 1.4509,                0.82923,                0.68772,                0.75904,                0.53365,                 1.1812,                 1.0001,                 1.5085,                0.00148,                0.00148,                0.00148
                     19,                 1.1729,                0.97441,                 1.4303,                0.77074,                  0.704,                0.76111,                0.49144,                 1.2456,                0.95744,                 1.5005,               0.001469,               0.001469,               0.001469
                     20,                 1.1712,                0.95742,                 1.4192,                0.86418,                0.70032,                0.79578,                0.55108,                 1.0842,                0.90664,                 1.3896,               0.001458,               0.001458,               0.001458
                     21,                 1.1746,                0.95228,                 1.4067,                0.85981,                0.70698,                0.77003,                0.53015,                 1.1469,                0.92441,                 1.4325,               0.001447,               0.001447,               0.001447
                     22,                  1.159,                0.95767,                 1.4081,                0.85721,                0.68541,                0.76874,                0.53293,                 1.1192,                0.92219,                 1.4419,               0.001436,               0.001436,               0.001436
                     23,                 1.1316,                0.92994,                 1.3926,                0.75056,                0.70013,                 0.7618,                0.52352,                 1.1532,                0.99879,                 1.4772,               0.001425,               0.001425,               0.001425
                     24,                 1.1387,                0.91449,                 1.3994,                0.88184,                0.65093,                0.77372,                0.54227,                 1.1136,                 0.9239,                 1.4452,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.1105,                0.88768,                 1.3741,                0.85298,                 0.7068,                0.78774,                0.56253,                 1.0265,                0.85196,                 1.3514,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.1045,                0.87628,                 1.3656,                0.81592,                0.69145,                0.78298,                0.54178,                 1.0615,                 0.8719,                 1.4556,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.0663,                0.84156,                 1.3434,                0.86742,                0.74442,                0.80588,                 0.5697,                 1.0508,                0.86179,                 1.4178,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.1045,                0.87156,                 1.3702,                 0.8632,                0.72896,                0.80236,                0.54877,                 1.0977,                0.83771,                 1.4104,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.0897,                0.86494,                 1.3691,                0.82735,                0.71002,                0.76144,                 0.5415,                 1.0773,                 0.8682,                 1.4047,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.0718,                0.82881,                 1.3441,                 0.8696,                0.69688,                 0.7931,                 0.5487,                 1.1005,                0.93133,                  1.394,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.0418,                0.81211,                 1.3355,                 0.9009,                0.72052,                0.81123,                0.57729,                 1.0429,                0.84114,                 1.3826,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.0445,                0.79458,                 1.3347,                0.82825,                0.77789,                 0.8206,                0.58269,                 1.0173,                0.80602,                  1.356,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.0076,                0.79651,                 1.3147,                0.87696,                0.73361,                0.79733,                0.56535,                 1.0755,                0.83686,                 1.4033,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.0156,                0.77933,                 1.3186,                0.86767,                0.74315,                0.82403,                0.55835,                 1.1242,                0.79323,                 1.4062,              0.0013039,              0.0013039,              0.0013039
                     35,                0.99324,                0.78387,                 1.2935,                0.87368,                0.76448,                0.83589,                0.58752,                 1.0229,                0.81993,                  1.364,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.0233,                0.77098,                 1.3086,                0.85816,                0.72132,                0.78354,                0.57192,                 1.0613,                0.85493,                 1.4057,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.0078,                0.77796,                  1.305,                0.87008,                0.70851,                0.80408,                0.59183,                0.99087,                0.80507,                 1.3518,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.0114,                0.77687,                 1.3142,                0.88928,                0.74162,                0.82842,                 0.5794,                 1.0295,                0.77331,                  1.328,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.0047,                0.77717,                 1.3032,                0.86754,                0.73985,                0.81877,                0.58478,                  0.964,                0.75216,                 1.3054,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.0019,                0.75323,                 1.2984,                0.89558,                0.73463,                 0.8162,                0.59333,                0.96489,                0.78004,                 1.3164,              0.0012379,              0.0012379,              0.0012379
                     41,                0.97007,                 0.7296,                 1.2921,                0.90081,                0.75471,                0.82144,                0.57471,                 1.0682,                0.74626,                  1.362,              0.0012269,              0.0012269,              0.0012269
                     42,                0.97948,                0.73656,                 1.2875,                0.86428,                0.76984,                0.82367,                0.60353,                0.96261,                0.72319,                 1.2809,              0.0012159,              0.0012159,              0.0012159
                     43,                0.96975,                0.73569,                 1.2744,                0.85838,                0.75724,                0.83077,                 0.5939,                0.97362,                0.72193,                 1.2876,              0.0012049,              0.0012049,              0.0012049
                     44,                0.93484,                0.72314,                 1.2662,                0.85921,                0.73543,                0.81188,                0.57985,                0.98911,                0.75305,                 1.3203,              0.0011939,              0.0011939,              0.0011939
                     45,                0.95738,                0.72054,                 1.2731,                0.88571,                0.74582,                0.83204,                0.60862,                0.98698,                 0.7121,                  1.325,              0.0011829,              0.0011829,              0.0011829
                     46,                0.94898,                0.70051,                 1.2749,                0.86201,                0.75853,                0.82556,                0.60315,                0.95574,                0.68734,                 1.2968,              0.0011719,              0.0011719,              0.0011719
                     47,                0.95308,                0.70396,                 1.2627,                0.91497,                0.70478,                 0.8133,                0.60676,                0.95668,                0.71549,                 1.3129,              0.0011609,              0.0011609,              0.0011609
                     48,                0.92855,                0.67855,                 1.2522,                0.85778,                0.73685,                0.80936,                0.59352,                0.97046,                0.72879,                  1.315,              0.0011499,              0.0011499,              0.0011499
                     49,                0.93921,                0.71541,                 1.2597,                0.87788,                0.74906,                0.83848,                0.60141,                0.99132,                0.69744,                 1.3359,              0.0011389,              0.0011389,              0.0011389
                     50,                0.92694,                0.69094,                 1.2484,                0.85268,                0.77615,                0.82678,                0.59642,                0.96835,                0.70726,                 1.3214,              0.0011279,              0.0011279,              0.0011279
                     51,                0.92215,                 0.6788,                 1.2469,                0.84421,                0.74876,                0.81151,                0.60354,                0.93204,                0.71157,                 1.3142,              0.0011169,              0.0011169,              0.0011169
                     52,                0.91563,                0.68923,                 1.2456,                0.84589,                0.75702,                0.82596,                 0.6201,                0.92122,                0.69912,                 1.2703,              0.0011059,              0.0011059,              0.0011059
