                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2249,                 2.2987,                 1.4506,                 0.8861,                0.17514,                0.38361,                 0.2559,                 1.0916,                  2.615,                 1.2407,             0.00046676,             0.00046676,             0.00046676
                      2,                 1.2479,                  1.568,                 1.4313,                0.60219,                0.45517,                0.61833,                0.37962,                 1.3456,                 1.9811,                 1.6207,             0.00094392,             0.00094392,             0.00094392
                      3,                 1.2427,                 1.3536,                 1.3922,                0.66812,                0.37082,                0.46985,                0.25877,                 1.5978,                 2.3736,                  1.685,              0.0014147,              0.0014147,              0.0014147
                      4,                  1.288,                 1.3567,                 1.4527,                0.63659,                0.56621,                0.59031,                0.33666,                 1.4261,                 1.7172,                 1.6168,               0.001634,               0.001634,               0.001634
                      5,                 1.2783,                 1.3282,                  1.419,                0.64549,                0.60256,                0.59342,                0.34904,                  1.433,                 1.6492,                 1.6333,               0.001623,               0.001623,               0.001623
                      6,                   1.25,                 1.2809,                 1.4072,                0.64486,                0.57159,                0.58711,                0.33836,                 1.4085,                 1.6682,                 1.5095,               0.001612,               0.001612,               0.001612
                      7,                 1.2364,                  1.238,                 1.3977,                0.75896,                0.65867,                0.73556,                 0.4599,                 1.3151,                 1.2225,                 1.4598,               0.001601,               0.001601,               0.001601
                      8,                 1.2144,                  1.175,                 1.3777,                0.71544,                0.70867,                 0.7319,                0.46202,                 1.3045,                 1.2338,                 1.4339,                0.00159,                0.00159,                0.00159
                      9,                 1.1898,                  1.122,                 1.3374,                0.73182,                0.65657,                0.71584,                0.45481,                 1.3656,                 1.2709,                 1.5306,               0.001579,               0.001579,               0.001579
                     10,                 1.1913,                 1.1134,                 1.3531,                0.80456,                0.70502,                0.76888,                 0.4781,                 1.3131,                 1.1401,                 1.4655,               0.001568,               0.001568,               0.001568
                     11,                 1.1965,                  1.114,                 1.3571,                0.66645,                0.66577,                0.66083,                0.39101,                 1.3665,                 1.3948,                 1.4661,               0.001557,               0.001557,               0.001557
                     12,                  1.178,                 1.0724,                 1.3589,                 0.8284,                0.68391,                 0.7465,                 0.4624,                  1.304,                 1.2168,                 1.4625,               0.001546,               0.001546,               0.001546
                     13,                 1.1431,                 1.0441,                 1.3383,                0.78729,                0.63626,                0.70283,                0.45064,                  1.318,                 1.3029,                 1.4409,               0.001535,               0.001535,               0.001535
                     14,                 1.1521,                 1.0369,                 1.3368,                0.76227,                0.68425,                0.74015,                0.48709,                 1.2828,                 1.1523,                 1.3901,               0.001524,               0.001524,               0.001524
                     15,                  1.158,                0.99394,                 1.3143,                0.80136,                0.66756,                0.74952,                0.50409,                 1.2247,                 1.1241,                 1.3405,               0.001513,               0.001513,               0.001513
                     16,                 1.1226,                0.99138,                 1.3298,                0.80608,                0.63773,                0.75248,                0.48605,                 1.2598,                 1.1092,                 1.4109,               0.001502,               0.001502,               0.001502
                     17,                 1.1211,                 1.0065,                 1.3227,                0.76062,                0.70688,                0.76621,                0.51153,                 1.2038,                  1.056,                 1.3231,               0.001491,               0.001491,               0.001491
                     18,                 1.0524,                0.93431,                 1.2801,                0.71628,                 0.6315,                0.68438,                0.39836,                 1.4539,                 1.3089,                 1.5359,                0.00148,                0.00148,                0.00148
                     19,                 1.0874,                0.96983,                 1.2955,                0.81393,                0.64561,                 0.7218,                0.45062,                 1.3396,                 1.2217,                 1.4505,               0.001469,               0.001469,               0.001469
                     20,                 1.1043,                0.93474,                 1.2902,                0.84654,                0.65415,                 0.7576,                0.49591,                 1.2627,                 1.0837,                 1.3819,               0.001458,               0.001458,               0.001458
                     21,                 1.0524,                0.92109,                 1.2629,                0.80729,                0.65976,                0.73726,                0.50334,                 1.1932,                 1.1378,                 1.3635,               0.001447,               0.001447,               0.001447
                     22,                 1.0425,                0.93406,                 1.2846,                0.85988,                0.68451,                 0.7715,                 0.5264,                 1.1405,                 1.0019,                  1.316,               0.001436,               0.001436,               0.001436
                     23,                 1.0686,                0.90861,                 1.2784,                0.85556,                0.67009,                0.78849,                0.54198,                 1.1592,                0.98731,                 1.3177,               0.001425,               0.001425,               0.001425
                     24,                 1.0239,                0.86034,                 1.2591,                0.83928,                0.68808,                0.76478,                0.51024,                 1.2462,                0.99158,                 1.4049,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.0408,                0.87506,                 1.2861,                0.87647,                0.63775,                0.75721,                0.48447,                 1.2546,                 1.0808,                 1.3992,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.0281,                0.86091,                 1.2462,                0.82465,                0.71628,                0.78473,                0.52314,                 1.1638,                 1.0186,                 1.3214,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.0503,                0.86341,                 1.2625,                0.80756,                0.71001,                 0.7681,                0.49827,                 1.2516,                 1.0418,                 1.3847,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.0503,                0.91146,                 1.2665,                0.87159,                0.70926,                0.79624,                0.54239,                 1.1273,                0.97183,                 1.3103,              0.0013699,              0.0013699,              0.0013699
                     29,                  1.037,                0.87993,                 1.2643,                 0.8255,                0.72623,                0.80113,                0.55473,                 1.1054,                0.90599,                 1.2799,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.0112,                0.83888,                 1.2372,                0.82909,                0.70963,                0.80541,                 0.5352,                 1.1723,                 1.0284,                 1.3442,              0.0013479,              0.0013479,              0.0013479
                     31,                0.99514,                0.85406,                 1.2415,                0.81065,                0.73311,                 0.8069,                0.54978,                 1.1238,                0.94007,                  1.277,              0.0013369,              0.0013369,              0.0013369
                     32,                 0.9885,                0.88403,                 1.2421,                0.79656,                0.74148,                0.80904,                0.55771,                 1.1027,                0.96301,                 1.2662,              0.0013259,              0.0013259,              0.0013259
                     33,                0.97319,                0.80764,                 1.2217,                0.81818,                0.73571,                0.79699,                0.54829,                 1.0897,                0.90414,                 1.2784,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.0111,                0.82646,                 1.2208,                0.76531,                0.71791,                0.79336,                0.53451,                 1.1777,                0.96376,                 1.3086,              0.0013039,              0.0013039,              0.0013039
                     35,                0.98043,                0.80538,                 1.2204,                0.82489,                0.71179,                0.77671,                  0.532,                 1.1253,                0.94309,                 1.2961,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.0087,                0.83041,                  1.244,                0.81195,                0.70049,                 0.7616,                0.51299,                 1.1865,                0.98827,                 1.3656,              0.0012819,              0.0012819,              0.0012819
                     37,                 0.9931,                0.81129,                 1.2226,                0.79819,                0.70926,                0.78215,                0.51273,                 1.1714,                0.99907,                 1.3292,              0.0012709,              0.0012709,              0.0012709
                     38,                0.97832,                0.79122,                 1.2058,                0.81109,                0.75506,                0.80129,                 0.5576,                 1.1299,                0.92889,                 1.3264,              0.0012599,              0.0012599,              0.0012599
                     39,                0.95122,                0.77664,                 1.1905,                0.83356,                0.74325,                0.81541,                0.55786,                  1.091,                0.88369,                 1.2931,              0.0012489,              0.0012489,              0.0012489
                     40,                 0.9633,                0.77061,                 1.2053,                0.80881,                0.75851,                0.79924,                0.54976,                 1.1219,                0.89278,                 1.2714,              0.0012379,              0.0012379,              0.0012379
                     41,                0.95781,                0.76311,                 1.2086,                0.82997,                0.76479,                0.80709,                0.56362,                 1.1144,                0.91518,                 1.2645,              0.0012269,              0.0012269,              0.0012269
                     42,                0.93121,                0.74444,                 1.1947,                0.86699,                0.69985,                0.81103,                0.56696,                 1.0735,                0.85793,                 1.2303,              0.0012159,              0.0012159,              0.0012159
                     43,                0.91547,                0.74605,                  1.184,                0.84559,                0.75446,                0.81166,                0.57636,                 1.0726,                0.87748,                 1.2425,              0.0012049,              0.0012049,              0.0012049
                     44,                0.94056,                0.74529,                 1.1825,                 0.8381,                0.74696,                0.80931,                0.56232,                 1.0929,                0.88015,                 1.2644,              0.0011939,              0.0011939,              0.0011939
                     45,                0.95405,                 0.7475,                 1.1947,                 0.8603,                0.70926,                0.79877,                0.54844,                 1.1141,                0.88484,                 1.2725,              0.0011829,              0.0011829,              0.0011829
                     46,                0.92005,                0.73618,                 1.1836,                0.85581,                0.74219,                0.82951,                0.56952,                 1.1222,                0.82922,                 1.2648,              0.0011719,              0.0011719,              0.0011719
                     47,                0.92742,                0.73068,                 1.1803,                 0.8205,                0.78777,                0.82607,                0.57078,                 1.0827,                0.83558,                   1.26,              0.0011609,              0.0011609,              0.0011609
                     48,                0.93521,                0.73132,                 1.1983,                0.83366,                 0.7794,                0.80975,                0.55649,                 1.0961,                0.88537,                 1.2664,              0.0011499,              0.0011499,              0.0011499
                     49,                0.90696,                0.70992,                 1.1725,                0.82858,                0.77042,                0.81696,                0.58424,                 1.0502,                0.83172,                 1.2239,              0.0011389,              0.0011389,              0.0011389
                     50,                0.90825,                0.71406,                 1.1791,                 0.8508,                0.75968,                0.80827,                0.56732,                 1.1072,                0.86169,                 1.2501,              0.0011279,              0.0011279,              0.0011279
                     51,                0.89416,                0.71732,                 1.1776,                0.83985,                0.74658,                0.81384,                0.57255,                 1.0818,                0.86758,                 1.2513,              0.0011169,              0.0011169,              0.0011169
