                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2585,                 2.1557,                 1.4624,                0.91057,                0.25695,                0.50172,                0.31666,                 1.1572,                 2.1746,                  1.362,             0.00054359,             0.00054359,             0.00054359
                      2,                 1.3286,                 1.4675,                 1.4732,                0.67043,                0.58665,                0.61228,                0.38082,                 1.3378,                 1.9465,                 1.5191,               0.001092,               0.001092,               0.001092
                      3,                  1.313,                 1.3731,                 1.4436,                0.64102,                0.65409,                0.64482,                0.36555,                 1.3864,                 1.4954,                 1.6383,              0.0016331,              0.0016331,              0.0016331
                      4,                 1.3124,                  1.342,                 1.4629,                0.82095,                0.66714,                0.75469,                0.44503,                 1.3825,                 1.3244,                 1.5804,               0.001634,               0.001634,               0.001634
                      5,                  1.283,                 1.2351,                 1.4372,                0.72724,                0.64908,                0.72939,                0.43319,                  1.349,                 1.3305,                 1.5298,               0.001623,               0.001623,               0.001623
                      6,                 1.2847,                 1.2155,                 1.4334,                0.82818,                0.63876,                0.70385,                0.42385,                 1.4106,                 1.3515,                 1.6447,               0.001612,               0.001612,               0.001612
                      7,                 1.2694,                 1.1686,                 1.4252,                0.79817,                0.64802,                0.71823,                0.46801,                 1.2437,                 1.2046,                 1.4355,               0.001601,               0.001601,               0.001601
                      8,                 1.2647,                 1.1638,                 1.4198,                 0.6866,                0.71895,                0.73434,                 0.4386,                 1.3585,                 1.3054,                 1.5219,                0.00159,                0.00159,                0.00159
                      9,                 1.2638,                 1.1312,                 1.4076,                0.79705,                0.71237,                0.77804,                0.50625,                 1.1461,                  1.172,                 1.3424,               0.001579,               0.001579,               0.001579
                     10,                 1.1854,                 1.0623,                 1.3628,                0.93162,                0.68843,                0.79959,                0.55572,                  1.085,                0.96627,                 1.2977,               0.001568,               0.001568,               0.001568
                     11,                 1.2034,                 1.0574,                 1.3597,                0.86748,                0.71931,                0.79162,                 0.5368,                 1.2261,                 1.0506,                 1.4399,               0.001557,               0.001557,               0.001557
                     12,                 1.1779,                 1.0308,                 1.3517,                 0.8648,                0.72344,                0.80494,                0.53667,                 1.1648,                0.99978,                 1.4215,               0.001546,               0.001546,               0.001546
                     13,                 1.2065,                  1.044,                 1.3591,                0.79853,                0.68448,                0.76623,                0.52618,                 1.0995,                 1.0283,                 1.3266,               0.001535,               0.001535,               0.001535
                     14,                 1.1937,                 1.0226,                 1.3571,                0.90048,                0.66898,                  0.774,                 0.5111,                 1.1287,                  1.092,                 1.3549,               0.001524,               0.001524,               0.001524
                     15,                 1.1788,                  1.007,                 1.3456,                0.78353,                0.71526,                0.75957,                0.48225,                 1.2423,                 1.1735,                 1.4138,               0.001513,               0.001513,               0.001513
                     16,                 1.1693,                 1.0167,                 1.3426,                0.77759,                 0.7188,                0.74306,                0.47745,                 1.1912,                 1.1329,                 1.4181,               0.001502,               0.001502,               0.001502
                     17,                 1.1523,                0.97599,                  1.327,                0.84717,                0.73978,                0.81402,                0.54737,                 1.1346,                 0.9446,                 1.3909,               0.001491,               0.001491,               0.001491
                     18,                 1.1319,                0.96291,                 1.3181,                0.82203,                0.72542,                0.79749,                0.53571,                 1.1533,                0.88167,                 1.3776,                0.00148,                0.00148,                0.00148
                     19,                 1.1154,                0.93974,                 1.3164,                0.83972,                0.71229,                0.79229,                0.53116,                  1.148,                0.98821,                 1.3964,               0.001469,               0.001469,               0.001469
                     20,                 1.0951,                0.89111,                 1.2996,                0.87297,                0.69065,                0.80565,                0.53398,                 1.1507,                 1.0019,                 1.3549,               0.001458,               0.001458,               0.001458
                     21,                 1.1149,                0.90966,                 1.2983,                0.87148,                0.71793,                0.78858,                 0.5364,                 1.2575,                 1.0072,                 1.4451,               0.001447,               0.001447,               0.001447
                     22,                 1.0996,                0.91166,                 1.2908,                0.84857,                0.72193,                0.78666,                0.53625,                 1.0719,                0.88432,                 1.2808,               0.001436,               0.001436,               0.001436
                     23,                 1.0739,                0.88396,                  1.274,                0.85097,                0.72575,                 0.8107,                0.57598,                 1.0684,                0.84322,                 1.3075,               0.001425,               0.001425,               0.001425
                     24,                 1.0841,                0.89364,                  1.275,                0.84416,                0.75297,                0.83048,                0.55437,                 1.1019,                0.85835,                 1.3286,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.0819,                 0.8874,                 1.2809,                0.81608,                0.72769,                0.79567,                0.53268,                 1.1694,                0.91874,                 1.3614,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.0642,                0.86815,                 1.2548,                0.89758,                0.72936,                0.83652,                0.58228,                 1.0776,                0.87753,                 1.2941,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.0635,                0.84751,                 1.2716,                0.82177,                  0.754,                 0.8059,                0.54988,                 1.1018,                0.89233,                 1.2914,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.0606,                0.84211,                 1.2713,                0.92231,                0.71899,                0.84042,                0.57062,                 1.0968,                0.83011,                 1.3091,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.0412,                 0.8281,                 1.2516,                0.87966,                0.73497,                0.83119,                0.55827,                 1.0925,                0.85121,                 1.3023,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.0604,                0.82582,                 1.2573,                0.85374,                0.73258,                 0.8244,                0.58148,                 1.0797,                 0.8247,                 1.3116,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.0197,                0.79772,                 1.2404,                0.85453,                 0.7495,                0.81977,                0.57826,                 1.0655,                0.84029,                 1.2851,              0.0013369,              0.0013369,              0.0013369
                     32,                   1.03,                0.81509,                  1.249,                0.90028,                0.71677,                0.80442,                0.57329,                 1.0313,                0.82599,                 1.2565,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.0111,                0.80099,                 1.2402,                0.82344,                0.77542,                0.83362,                0.58502,                 1.0836,                0.82906,                 1.2782,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.0188,                0.79456,                 1.2459,                0.84961,                0.75107,                0.82502,                0.59185,                 1.0575,                0.81366,                 1.2695,              0.0013039,              0.0013039,              0.0013039
                     35,                0.99811,                0.78622,                 1.2225,                0.87553,                0.71804,                0.80747,                0.55673,                 1.0789,                0.83514,                 1.2804,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.0145,                0.78282,                 1.2272,                0.87403,                0.74551,                0.82696,                0.56746,                 1.0811,                0.76897,                 1.2576,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.0104,                0.79171,                 1.2268,                0.90323,                0.76354,                 0.8486,                0.58752,                 1.0735,                0.74197,                 1.2671,              0.0012709,              0.0012709,              0.0012709
                     38,                0.98461,                0.77384,                 1.2228,                0.86137,                0.76853,                0.83982,                0.58847,                 1.0786,                0.82012,                 1.3045,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.0106,                0.79657,                 1.2273,                0.84779,                0.77091,                0.83908,                0.59701,                 1.0407,                0.77219,                 1.2383,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.0031,                0.77515,                  1.229,                0.85731,                0.75107,                 0.8326,                0.59692,                0.99506,                0.81524,                 1.2418,              0.0012379,              0.0012379,              0.0012379
                     41,                0.95631,                0.75405,                 1.2078,                0.79997,                0.79913,                0.83792,                 0.5881,                 1.0144,                0.77931,                 1.2565,              0.0012269,              0.0012269,              0.0012269
                     42,                0.98884,                0.76797,                 1.2131,                0.80414,                0.80325,                0.84408,                0.57748,                 1.0441,                0.79376,                 1.2466,              0.0012159,              0.0012159,              0.0012159
                     43,                0.98305,                0.76022,                 1.2102,                0.85921,                0.77472,                0.85157,                0.60211,                0.99078,                0.74799,                 1.2217,              0.0012049,              0.0012049,              0.0012049
                     44,                0.95675,                 0.7459,                 1.1963,                0.81531,                0.80227,                0.83731,                0.58867,                0.99962,                0.83827,                 1.2256,              0.0011939,              0.0011939,              0.0011939
                     45,                0.97543,                0.74634,                 1.2044,                0.88559,                0.76599,                0.83673,                0.59121,                 1.0496,                0.77696,                 1.2571,              0.0011829,              0.0011829,              0.0011829
                     46,                0.96605,                0.74059,                 1.2126,                0.88667,                0.70288,                0.82485,                0.59522,                 1.0515,                0.79549,                   1.26,              0.0011719,              0.0011719,              0.0011719
                     47,                0.96014,                0.72459,                 1.1929,                0.92126,                0.71044,                0.82226,                0.59207,                 1.0427,                0.84018,                 1.2984,              0.0011609,              0.0011609,              0.0011609
                     48,                0.93881,                0.71451,                 1.1857,                0.85412,                0.75514,                0.80946,                0.59242,                0.99266,                0.76774,                  1.222,              0.0011499,              0.0011499,              0.0011499
                     49,                0.94657,                  0.735,                 1.1939,                0.87448,                0.75673,                0.83019,                0.58205,                 1.0694,                0.80008,                 1.3116,              0.0011389,              0.0011389,              0.0011389
                     50,                0.93285,                0.71627,                 1.1816,                0.86547,                0.72038,                0.80865,                  0.565,                 1.0502,                0.90676,                 1.2871,              0.0011279,              0.0011279,              0.0011279
                     51,                0.94509,                0.70321,                 1.1907,                0.86054,                0.75439,                0.83516,                 0.6052,                0.92892,                0.75245,                 1.1802,              0.0011169,              0.0011169,              0.0011169
                     52,                0.95248,                0.71226,                 1.1952,                0.84725,                0.76201,                 0.8251,                0.57688,                 1.0484,                0.76567,                 1.2798,              0.0011059,              0.0011059,              0.0011059
                     53,                0.92332,                0.70496,                 1.1778,                0.88958,                0.73392,                0.83004,                0.59867,                  1.022,                0.73273,                 1.2481,              0.0010949,              0.0010949,              0.0010949
                     54,                0.92008,                0.69717,                 1.1806,                0.89689,                0.75343,                0.84382,                0.58868,                 1.0516,                0.73469,                  1.256,              0.0010839,              0.0010839,              0.0010839
                     55,                0.91493,                0.68248,                 1.1638,                 0.9168,                0.73765,                0.85821,                0.58281,                 1.0693,                0.71628,                 1.2817,              0.0010729,              0.0010729,              0.0010729
                     56,                 0.9452,                0.69404,                 1.1846,                0.86702,                0.75817,                0.85216,                0.59648,                 1.0123,                0.72723,                 1.2234,              0.0010619,              0.0010619,              0.0010619
                     57,                0.92858,                0.69566,                 1.1747,                0.85634,                0.79713,                0.84937,                0.61586,                  1.005,                0.70984,                 1.2296,              0.0010509,              0.0010509,              0.0010509
                     58,                0.90823,                0.67936,                 1.1675,                0.85713,                0.76423,                0.84665,                0.60018,                 1.0351,                0.72158,                 1.2143,              0.0010399,              0.0010399,              0.0010399
                     59,                 0.9043,                0.65705,                  1.153,                0.83714,                0.77429,                0.83049,                 0.6037,                0.93921,                0.71171,                 1.1853,              0.0010289,              0.0010289,              0.0010289
                     60,                0.89433,                0.67146,                 1.1557,                0.83992,                0.79639,                0.83906,                0.60443,                0.97649,                0.73642,                  1.208,              0.0010179,              0.0010179,              0.0010179
                     61,                0.91537,                0.68579,                 1.1725,                0.85048,                0.76862,                0.83891,                0.61577,                 1.0017,                0.73751,                 1.2357,              0.0010069,              0.0010069,              0.0010069
